subject|wiki_link|summary
"Bernardo de Gálvez"|"https://en.wikipedia.org/wiki/Bernardo_de_G%C3%A1lvez"|"Bernardo Vicente de Gálvez y Madrid, 1st Count of Gálvez (23 July 1746 – 30 November 1786) was a Spanish military leader and government official who served as colonial governor of Spanish Louisiana and Cuba, and later as Viceroy of New Spain. A career soldier since the age of 16, Gálvez was a veteran of several wars across Europe, the Americas, and North Africa. While governor of Louisiana, he supported the colonists and their French allies in the American Revolutionary War, helping facilitate vital supply lines and frustrate British operations in the Gulf Coast. Gálvez achieved several victories on the battlefield, most notably conquering West Florida and eliminating the British naval presence in the Gulf. This campaign led to the formal return of all of Florida to Spain in the Treaty of Paris, which he played a role in drafting. Gálvez's actions aided the American war effort and made him a hero to both Spain and the newly independent United States. The U.S. Congress endeavored to hang his portrait in the Capitol, finally doing so in 2014. He was granted many titles and honors by the Spanish government, which in 1783 appointed him viceroy of one of its most valuable territories, New Spain, succeeding his father Matías de Gálvez y Gallardo. He served until his death from typhus. While somewhat forgotten in the United States, Gálvez remains in high esteem among many Americans, particularly in the southern and western states that once formed part of Spain's North American territory. Gálvez Day is celebrated as a local holiday in Pensacola, and several places bear his name, including Galveston, Texas and Galvez, Louisiana. In 2014, Gálvez became one of only eight people to have been awarded honorary U.S. citizenship."
"Siege of Pensacola"|"https://en.wikipedia.org/wiki/Siege_of_Pensacola"|"When Spain entered the War in 1779, Bernardo de Gálvez, the energetic governor of Spanish Louisiana, immediately began offensive operations to gain control of British West Florida beginning with his assault at Fort Bute. In September 1779 he gained complete control over the lower Mississippi River by capturing Fort Bute and then shortly thereafter obtaining the surrender of the remaining forces following the Battle of Baton Rouge. He followed up these successes with the capture of Mobile on March 14, 1780, after a brief siege. Gálvez began planning an assault on Pensacola, West Florida's capital, using forces from Havana, with the recently captured Mobile as the launching point for the attack. British reinforcements arriving in Pensacola in April 1780 delayed the expedition, however, and when an invasion fleet finally sailed in October, it was dispersed by Solano's Hurricane a few days later. Gálvez spent nearly a month regrouping the fleet at Havana. Following the outbreak of hostilities with Spain 1779, General John Campbell, concerned over the condition of the defenses, requested reinforcements, and began construction of additional defenses. By early 1781, the Pensacola garrison consisted of the 16th Regiment, a battalion from the 60th, and 7 (Johnstones) Company of the 4th Battalion Royal Artillery (Present day 20 Battery Royal Artillery, 16 Regiment Royal Artillery). These were augmented by the Third Regiment of Waldeck and The Maryland Loyalist Battalion, as well as the Pennsylvania Loyalists. These troops were provincial soldiers, rather than militia. In addition to the Loyalist soldiers, some bands of Indians supported the British. After the fall of Mobile in March 1780, between 1,500-2,000 Indians had come at various points to Pensacola to join in its defense. These allies included Choctaws and Creeks, with Creeks being the most numerous. Just before the Spanish attack only 800 Indian braves remained in Pensacola, as Campbell, not realizing the attack was imminent, had sent about 300 away. During the siege and battle there were ultimately only about 500 of these left at Pensacola, due to efforts of the Muscogee Creeks to take a more 'balanced' role by offering supplies to both sides and diminishing their role on the British side. The majority of the warrior bands still present during the siege were Choctaw. Gálvez had received detailed descriptions of the state of the defenses in 1779, when he sent an aide there ostensibly to discuss the return of escaped slaves, although Campbell had made numerous changes since then. Pensacola's defensive works in early 1781 consisted of Fort George, an earthen works topped by a palisade that was rebuilt under Campbell's directions in 1780. North of the fort he had built the Prince of Wales Redoubt, and to its northwest was the Queen's Redoubt, also built in 1780. Campbell erected a battery called Fort Barrancas Colorada near the mouth of the bay. Gálvez embarked his flag with the Spanish fleet, under the command of Captain José Calvo de Irazabal. With about 1,300 men, the regular troops included a Majorcan regiment and Arturo O'Neill (later Governor of Spanish West and East Florida) commanding 319 men of Spain's Irish Hibernia Regiment, and including militias of biracial and free Afro-Cubans. Gálvez had also ordered additional troops from New Orleans and Mobile to assist. The Spanish expeditionary force sailed from Havana on February 13. Arriving outside Pensacola Bay on March 9, Gálvez landed some troops on Santa Rosa Island, the barrier island protecting the bay. O'Neill's Hibernians landed at the island battery, which he found undefended, and landed artillery, which he used to drive away the British ships taking shelter in the bay. However, bringing the Spanish ships into the bay turned out to be difficult, just as it had been the previous year at the capture of Mobile. Supplies were offloaded onto Santa Rosa Island to raise the draft of some of the ships, but Calvo, the fleet commander, refused to send any more ships through the channel after the lead ship, the 64-cannon San Ramon, grounded in its attempt. Furthermore, some British guns seemed to have the range to fire on the bay's entrance. Gálvez used his authority as Governor of Louisiana to commandeer the ships that were from Louisiana. He boarded the Gálveztown, and on March 18 he sailed her through the channel and into the bay. The three other Louisiana ships followed him, under what proved to be ineffective British artillery fire. After sending Calvo a detailed description of the channel, his captains all insisted on making the crossing, which they did the next day. Calvo, claiming that his assignment to deliver Gálvez' invasion force was now complete, sailed back to Havana in the San Ramon."
"Capture of the Bahamas (1782)"|"https://en.wikipedia.org/wiki/Capture_of_the_Bahamas_(1782)"|"The Capture of the Bahamas took place in May 1782 during the American Revolutionary War when a Spanish force under the command of Juan Manuel Cagigal arrived on the island of New Providence near Nassau, the capital of the Bahamas. The British commander at Nassau, John Maxwell decided to surrender the island without a fight when confronted by the superior force. Spain had entered the American War of Independence in 1779 and launched a campaign to drive the British out of the Gulf of Mexico, overrunning the British colony of West Florida, and seizing its major outposts at Mobile and Pensacola. The Spanish commander Bernardo de Gálvez planned an attack against Nassau, the capital of the Bahamas which served as a major British privateering base. Gálvez authorised an expedition against the islands in late 1781, but this was postponed during the Yorktown Campaign, which led to the surrender of a British army in October 1781. In early 1782 the scheme was revived and command of it was given to Juan Cagigal, the Governor of Havana. In spite of receiving orders from Gálvez to abandon the expedition scheme so his forces could be used for an invasion of Jamaica, Cagigal pressed ahead with his scheme and sailed from Havana on 18 April 1782. He had 2,500 troops, leaving the garrison of Havana very low, and unable to send troops to support Gálvez's Jamaican expedition. He had managed to secure additional ships and transports from the South Carolina Navy led by Alexander Gillon. On 6 May Cagigal's ships came into view of Nassau. He convinced the British commander, Vice Admiral John Maxwell, to surrender without opening a formal siege of the town. Maxwell offered twelve articles of surrender, a list which was mildly revised by Cagigal before he accepted the surrender. Spanish forces then occupied the town, taking the 600-strong British garrison as prisoners and capturing several ships, including a frigate. Gálvez was angered that Cagigal had not followed his orders to abandon the attack, and was also frustrated because the British naval victory at the Battle of the Saintes had forced him to abandon the planned Franco-Spanish invasion of Jamaica. Gálvez arranged to have Cagigal arrested for his alleged mistreatment of a British general, John Campbell, following the Siege of Pensacola in 1781. Cagigal was imprisoned in Cadiz and his military career was thus ruined. One of his associates, Francisco de Miranda, was also charged with a similar offence, which may have motivated his later career as an advocate of independence for Spain's American colonies. Ultimately it was Gálvez who was to receive credit for the capture of the Bahamas despite the fact he had tried to cancel the project. An American Loyalist named Andrew Deveaux set forth to recapture Nassau, which he achieved on 17 April 1783, with only 220 men and 150 muskets to face a force of 600 trained soldiers. By this time, however, the Spanish crown had already recognized British sovereignty over the Bahamas in exchange for East Florida under the Treaty of Paris."
"George Washington"| "https://en.wikipedia.org/wiki/George_Washington" |"George Washington (February 22, 1732 – December 14, 1799) was an American military officer, statesman, and Founding Father who served as the first president of the United States from 1789 to 1797. Appointed by the Second Continental Congress as commander of the Continental Army in June 1775, Washington led Patriot forces to victory in the American Revolutionary War and then served as president of the Constitutional Convention in 1787, which drafted and ratified the Constitution of the United States and established the American federal government. Washington has thus been called the 'Father of his Country'.Washington's first public office, from 1749 to 1750, was as surveyor of Culpeper County in the Colony of Virginia. He subsequently received military training and was assigned command of the Virginia Regiment during the French and Indian War. He was later elected to the Virginia House of Burgesses and was named a delegate to the Continental Congress in Philadelphia, which appointed him Commander-in-Chief of the Continental Army. Washington led American forces to a decisive victory over the British in the Revolutionary War, leading the British to sign the Treaty of Paris in 1783, which acknowledged the sovereignty and independence of the Thirteen Colonies and paved the way for the establishment of the United States. He resigned his commission in 1783 after the conclusion of the Revolutionary War.Washington played an indispensable role in adopting and ratifying the Constitution of the United States, which replaced the Articles of Confederation in 1789. He was then twice elected president by the Electoral College unanimously. As the first U.S. president, Washington implemented a strong, well-financed national government while remaining impartial in a fierce rivalry that emerged between cabinet members Thomas Jefferson and Alexander Hamilton. During the French Revolution, he proclaimed a policy of neutrality while sanctioning the Jay Treaty. He set enduring precedents for the office of president, including use of the title 'Mr. President' and the two-term tradition. His 1796 farewell address became a preeminent statement on republicanism in which he wrote about the importance of national unity and the dangers regionalism, partisanship, and foreign influence pose to it.Washington has been memorialized by monuments, a federal holiday, various media depictions, geographical locations including the national capital, the State of Washington, stamps, and currency. He is ranked among the greatest U.S. presidents. In 1976, Washington was posthumously promoted to the rank of General of the Armies, the highest rank in the U.S. Army. His legacy is marred, however, by his ownership of slaves and his complicated relationship with slavery, as well as his policy to assimilate Native Americans into the Anglo-American culture and waging war against Native American nations during the Revolutionary Wars and the Northwest Indian War."
"John Adams"| "https://en.wikipedia.org/wiki/John_Adams"| "John Adams (October 30, 1735 – July 4, 1826) was an American statesman, attorney, diplomat, writer, and Founding Father who served as the second president of the United States from 1797 to 1801. Before his presidency, he was a leader of the American Revolution that achieved independence from Great Britain. During the latter part of the Revolutionary War and in the early years of the new nation, he served the U.S. government as a senior diplomat in Europe. Adams was the first person to hold the office of vice president of the United States, serving from 1789 to 1797. He was a dedicated diarist and regularly corresponded with important contemporaries, including his wife and adviser Abigail Adams and his friend and political rival Thomas Jefferson.A lawyer and political activist prior to the Revolution, Adams was devoted to the right to counsel and presumption of innocence. He defied anti-British sentiment and successfully defended British soldiers against murder charges arising from the Boston Massacre. Adams was a Massachusetts delegate to the Continental Congress and became a leader of the revolution. He assisted Jefferson in drafting the Declaration of Independence in 1776 and was its primary advocate in Congress. As a diplomat he helped negotiate a peace treaty with Great Britain and secured vital governmental loans. Adams was the primary author of the Massachusetts Constitution in 1780, which influenced the United States Constitution, as did his essay Thoughts on Government.Adams was elected to two terms as vice president under President George Washington and was elected as the United States' second president in 1796. He was the only president elected under the banner of the Federalist Party. During his term, Adams encountered fierce criticism from the Jeffersonian Republicans and from some in his own party, led by his rival Alexander Hamilton. Adams signed the controversial Alien and Sedition Acts, and built up the Army and Navy in the undeclared naval war with France. He became the first president to reside in the executive mansion now known as the White House.In his bid in 1800 for reelection to the presidency, opposition from Federalists and accusations of despotism from Jeffersonians led to Adams losing to his vice president and former friend Jefferson, and he retired to Massachusetts. He eventually resumed his friendship with Jefferson by initiating a continuing correspondence. He and Abigail generated the Adams political family, including their son John Quincy Adams, the sixth president. John Adams died on July 4, 1826 – the fiftieth anniversary of the adoption of the Declaration of Independence. Adams and his son are the only presidents of the first twelve who never owned slaves. Historians and scholars have favorably ranked his administration."
"Friedrich Wilhelm von Steuben"|"https://en.wikipedia.org/wiki/Friedrich_Wilhelm_von_Steuben"| "Friedrich Wilhelm August Heinrich Ferdinand von Steuben (born Friedrich Wilhelm Ludolf Gerhard Augustin Louis von Steuben; September 17, 1730 – November 28, 1794), also referred to as Baron von Steuben , was a Prussian military officer and a Founding Father of the United States who played a leading role in the American Revolutionary War by reforming the Continental Army into a disciplined and professional fighting force. His contributions marked a significant improvement in the performance of U.S. troops, and he is consequently regarded as one of the fathers of the United States Army. Born into a military family, Steuben was exposed to war from an early age; at 14 years old, he observed his father directing Prussian engineers in the 1744 siege of Prague. At age 16 or 17, he enlisted in the Prussian Army, which was considered the most professional and disciplined in Europe. During his 17 years of military service, Steuben took part in several battles in the Seven Years' War (1756–63), rose to the rank of captain, and became aide-de-camp to King Frederick II of Prussia, who was renowned for his military prowess and strategy. Steuben's career culminated in his attendance of Frederick's elite school for young military officers, after which he was abruptly discharged from the army in 1763, allegedly by the machinations of a rival. Steuben spent 11 years as court chamberlain to the prince of Hohenzollern-Hechingen, a small German principality. In 1769, the Duchess of Wurttemburg, a niece of Frederick, named him to the chivalric Order of Fidelity, a meritorious award that conferred the title, Freiherr, or 'free lord'; in 1771, his service to Hohenzollern-Hechingen earned him the title baron. In 1775, as the American Revolution had begun, Steuben saw a reduction in his salary and sought some form of military work; unable to find employment in peacetime Europe, he joined the U.S. war effort through mutual French contacts with U.S. diplomats, most notably ambassador to France Benjamin Franklin. Due to his military exploits, and his willingness to serve the Americans without compensation, Steuben made a positive impression on both Congress and General George Washington, who appointed him as temporary Inspector General of the Continental Army. Appalled by the state of U.S. forces, Steuben took the lead in teaching soldiers the essentials of military drills, tactics, and discipline based on Prussian techniques. He wrote Regulations for the Order and Discipline of the Troops of the United States, which remained the army's drill manual for decades, and continues to influence modern U.S. army manuals. Steuben also addressed widespread administrative waste and graft, helping save desperately needed supplies and funds. As these reforms began bearing fruit on the battlefield, in 1778, Congress, on Washington's recommendation, commissioned Steuben as Inspector General with the rank of Major General. He served the remainder of the war as Washington's chief of staff and one of his most trusted advisors.After the war, Steuben was made a U.S. citizen and granted a large estate in New York in reward for his service. In 1780, he was elected a member of the American Philosophical Society, a learned society that included most of the nation's most prominent founding fathers."
"John Dickinson"|"https://en.wikipedia.org/wiki/John_Dickinson"| "John Dickinson November 13 1732 – February 14, 1808, a Founding Father of the United States, was an attorney and politician from Philadelphia, Pennsylvania, and Wilmington, Delaware. Dickinson was known as the 'Penman of the Revolution' for his twelve Letters from a Farmer in Pennsylvania, published individually in 1767 and 1768, and he also wrote 'The Liberty Song' in 1768. As a member of the First Continental Congress, where he signed the Continental Association, Dickinson drafted most of the 1774 Petition to the King, and then, as a member of the Second Continental Congress, he wrote the 1775 Olive Branch Petition. Both of these attempts to negotiate with King George III of Great Britain failed. Dickinson also reworked Thomas Jefferson's language to write the final draft of the 1775 Declaration of the Causes and Necessity of Taking Up Arms.While in Congress, Dickinson served on the committee that wrote the Model Treaty, a template for seeking alliances with foreign countries, but he opposed independence from Great Britain. He either abstained or was absent from the vote on the Declaration of Independence and refused to sign the document after its passage. Nevertheless, Dickinson wrote the first draft of the 1776–1777 Articles of Confederation and Perpetual Union and served as a militia officer during the Revolution. He later was elected president of the 1786 Annapolis Convention, which called for the Constitutional Convention of 1787, and as a delegate from Delaware, he signed the United States Constitution. One of the wealthiest men in the British American colonies, Dickinson served as president of Delaware (1781–1783) and president of Pennsylvania (1782–1785). Upon Dickinson's death, President Thomas Jefferson referred to Dickinson as, (a)mong the first of the advocates for the rights of his country when assailed by Great Britain and called him 'one of the great worthies of the revolution.' Together with his wife Mary Norris Dickinson, he is the namesake of Dickinson College, Penn State Dickinson Law, and the Dickinson Complex at the University of Delaware. John Dickinson High School in Wilmington, Delaware was dedicated in his honor in 1959."
"Alexander Hamilton"|"https://en.wikipedia.org/wiki/Alexander_Hamilton"| "Alexander Hamilton (January 11, 1755, or 1757 – July 12, 1804) was an American military officer, statesman, and Founding Father who served as the first Secretary of Treasury from 1789 to 1795 during George Washington's presidency. Born out of wedlock in Charlestown, Nevis, Hamilton was orphaned as a child and taken in by a prosperous merchant. He pursued his education in New York City where, despite his young age, he was a prolific and widely read pamphleteer advocating for the American revolutionary cause, though an anonymous one. He then served as an artillery officer in the American Revolutionary War, where he saw military action against the British in the New York and New Jersey campaign, served for years as an aide to General George Washington, and helped secure American victory at the climactic Siege of Yorktown. After the Revolutionary War, Hamilton served as a delegate from New York to the Congress of the Confederation in Philadelphia. He resigned to practice law and founded the Bank of New York. In 1786, Hamilton led the Annapolis Convention to replace the Articles of Confederation with the Constitution of the United States, which he helped ratify by writing 51 of the 85 installments of The Federalist Papers. As a trusted member of President Washington's first cabinet, Hamilton served as the first U.S. Secretary of the Treasury. He envisioned a central government led by an energetic president, a strong national defense, and an industrial economy. He successfully argued that the implied powers of the Constitution provided the legal authority to fund the national debt, assume the states' debts, and create the First Bank of the United States, which was funded by a tariff on imports and a whiskey tax. He opposed American entanglement with the succession of unstable French Revolutionary governments and advocated in support of the Jay Treaty under which the U.S. resumed friendly trade relations with the British Empire. He also persuaded Congress to establish the Revenue Cutter Service. Hamilton's views became the basis for the Federalist Party, which was opposed by the Democratic-Republican Party led by Thomas Jefferson. Hamilton and other Federalists supported the Haitian Revolution, and Hamilton helped draft the constitution of Haiti. After resigning as Secretary of the Treasury, Hamilton resumed his legal and business activities. He was a leader in the abolition of the international slave trade. In the Quasi-War, Hamilton called for mobilization against France, and President John Adams appointed him major general. The army, however, did not see combat. Outraged by Adams' response to the crisis, Hamilton opposed his reelection campaign. Jefferson and Aaron Burr tied for the presidency in the electoral college and, despite philosophical differences, Hamilton endorsed Jefferson over Burr, whom he found unprincipled. When Burr ran for governor of New York in 1804, Hamilton again campaigned against him, arguing that he was unworthy. Taking offense, Burr challenged Hamilton to a duel. In the July 11, 1804 duel in Weehawken, New Jersey, Burr shot Hamilton in the stomach. Hamilton was immediately transported to the home of William Bayard Jr. in Greenwich Village for medical attention, but succumbed to his wounds the following day. Scholars generally regard Hamilton as an astute and intellectually brilliant administrator, politician, and financier who was sometimes impetuous. His ideas are credited with laying the foundation for American government and finance."
"Henry Knox"|"https://en.wikipedia.org/wiki/Henry_Knox"| "Henry Knox (July 25, 1750 – October 25, 1806), a Founding Father of the United States, was a Boston bookseller who became a senior general of the Continental Army during the Revolutionary War, serving as chief of artillery in most of Washington's campaigns. Following the revolution, he oversaw the War Department under the Articles of Confederation, 1785–1789. Washington, at the start of his first administration, appointed Knox the nation's first Secretary of War, a position he held from 1789 to 1794. He is perhaps best remembered today as the namesake of Fort Knox in Kentucky, the repository of a large portion of the nation's gold reserves. Born and raised in Boston, Massachusetts, Knox owned and operated a bookstore there, cultivating an interest in military history and joining a local artillery company. Knox was also on the scene of the 1770 Boston Massacre. Though barely 25 when the American Revolutionary War broke out in 1775, he engineered the transport of captured artillery from New York's Fort Ticonderoga, which proved decisive in driving the British out of Boston in early 1776. Knox quickly rose to become the chief artillery officer of the Continental Army. In this role, he accompanied Washington on most of his campaigns and was engaged in many major actions of the war. He established training centers for artillerymen and manufacturing facilities for weaponry that were valuable assets in winning the war for independence. Knox saw himself as the embodiment of revolutionary republican ideals. In early 1783, as the war drew to a close, he initiated the concept of The Society of the Cincinnati, authoring its founding document and establishing the organization as a fraternal, hereditary society of veteran officers that survives to this day. In 1785, the Congress of the Confederation appointed Knox as Secretary of War, where he dealt primarily with Indian affairs. Following the adoption of the United States Constitution in 1789, he became President Washington's Secretary of War. In this role he oversaw the development of coastal fortifications, worked to improve the preparedness of local militia, and directed the nation’s military operations in the Northwest Indian War. He was formally responsible for the nation's relationship with the Indian population in the territories it claimed, articulating a policy that established federal government supremacy over the states in relation to Indian nations and called for treating Indian nations as sovereign. Knox's idealistic views on the subject were frustrated by ongoing illegal settlements and fraudulent land transfers of Indian lands.He retired to Thomaston, District of Maine in 1795, where he oversaw the rise of a business empire built on borrowed money. He died in 1806, leaving an estate that was bankrupt."
"Thomas Paine"|"https://en.wikipedia.org/wiki/Thomas_Paine"| "Thomas Paine (born Thomas Pain; February 9, 1737 – June 8, 1809) was an English-born American Founding Father, political activist, philosopher, political theorist, and revolutionary. He authored Common Sense (1776) and The American Crisis (1776–1783), two of the most influential pamphlets at the start of the American Revolution, and he helped to inspire the Patriots in 1776 to declare independence from Great Britain. His ideas reflected Enlightenment-era ideals of human rights. Paine was born in Thetford, Norfolk and emigrated to the British American colonies in 1774 with the help of Benjamin Franklin, arriving just in time to participate in the American Revolution. Virtually every American Patriot read his 47-page pamphlet Common Sense, which catalyzed the call for independence from Great Britain. The American Crisis was a pro-independence pamphlet series. Paine lived in France for most of the 1790s, becoming deeply involved in the French Revolution. While in England, he wrote Rights of Man (1791), in part a defense of the French Revolution against its critics. His attacks on Anglo-Irish conservative writer Edmund Burke led to a trial and conviction in absentia in England in 1792 for the crime of seditious libel. The British government of William Pitt the Younger was worried by the possibility that the French Revolution might spread to Britain and had begun suppressing works that espoused radical philosophies. Paine's work advocated the right of the people to overthrow their government and was therefore targeted with a writ for his arrest issued in early 1792. Paine fled to France in September, despite not being able to speak French, but he was quickly elected to the French National Convention. The Girondins regarded him as an ally; consequently, the Montagnards regarded him as an enemy, especially Maximilien Robespierre. In December 1793, he was arrested and was taken to Luxembourg Prison in Paris. While in prison, he continued to work on The Age of Reason (1793–1794). James Monroe used his diplomatic connections to get Paine released in November 1794. Paine became notorious because of his pamphlets and attacks on his former allies, who he felt had betrayed him. In The Age of Reason and other writings, he advocated Deism, promoted reason and freethought, and argued against religion in general and Christian doctrine in particular. In 1796, he published a bitter open letter to George Washington, whom he denounced as an incompetent general and a hypocrite. He published the pamphlet Agrarian Justice (1797), discussing the origins of property and introducing the concept of a guaranteed minimum income through a one-time inheritance tax on landowners. In 1802, he returned to the U.S. He died on June 8, 1809, and only six people attended his funeral, as he had been ostracized for his ridicule of Christianity and his attacks on the nation's leaders."
